avg_wind_speed,sol_rad,max_air_temp,min_air_temp,avg_air_temp,avg_rel_hum,avg_dewpt_temp,precip,pot_evapot,avg_soiltemp_4in_sod,OUTPUT
3.3,21.41,84.8,64.6,73.2,79.5,65.7,0.01,0.19,75.7,0
3,26.04,87.9,65.4,77.7,74.9,68.2,0,0.24,78.6,-1.6
3.4,19.11,83.5,67.6,75.7,79.7,68.5,0,0.17,79,-0.7
3.1,20.88,89.3,69.1,80.2,80.9,73.6,0,0.19,79.9,-4.2
7.5,15.11,82.2,66.9,76.1,76,67.8,0,0.14,79.7,-7.4
8.7,27.84,76.6,59.3,68,61.6,53.4,0,0.24,76.3,-6.9
5,27.68,75.8,55.9,66,60.8,51.3,0,0.23,75.4,-5.8
2.4,25.88,77.2,55.4,67.8,64.5,54.5,0,0.22,75.7,-5.2
3.6,25.25,81.1,60.5,71.4,63.7,57.7,0,0.22,77,-5.2
5.4,22.24,85.6,65.7,75.7,69.7,64.8,0,0.2,78.3,-5.4
5.3,19.22,71.9,57.9,66.2,72.8,56.8,0.01,0.16,75.7,-1.2
5.5,21.47,68.8,52.8,61.2,66.4,48.9,0,0.17,72.3,3.8
4.8,13.65,64.9,48.5,57.2,71.8,47.7,0,0.11,69.4,5.4
3.4,17.42,71.8,49.1,61.7,64.5,48.4,0,0.14,69.6,0.9
1.8,16.79,74,53.9,63.5,66.5,50.9,0,0.14,70.5,0.6
2.2,25.37,77.2,51.7,64.6,65.2,50.9,0,0.22,71.8,1.6
3.4,23.98,79.6,51,67.3,63.1,52.5,0,0.21,72.9,2.1
5.5,17.52,84.3,62.6,73.2,70.8,62.8,0.4,0.16,74.5,-0.2
4.6,21.19,89.8,64.1,77.4,73.1,66.9,0.02,0.2,76.1,-3.2
3.3,11.64,71.2,64.8,68.4,81.3,62.2,0,0.1,74.8,-1
5,6.21,66.6,57.1,61.2,90.3,58.1,0.69,0.05,70.5,5.6
1.9,22.93,78.1,54.2,66.2,78.2,58.3,0,0.2,71.1,6.1
4,24.92,82.1,59.6,72,70.5,61,0.01,0.22,73.4,1.1
3.7,15.57,84.7,65.2,72.7,83.8,67.1,0,0.14,75,-1.8
4.5,8.05,78.2,68,70.5,90.2,67.5,0.55,0.07,74.3,0.7
5,5.76,77.1,67,70,91.4,67.3,1.28,0.05,72.9,2.5
5.4,12.36,86,68.6,76.5,85.8,71.8,0.01,0.11,73.8,2.5
4.9,10.57,88.9,71.8,78.8,85.1,73.6,0.17,0.1,76.1,0.5
3.7,18.35,84.6,63.2,73.2,82.9,67.3,0.12,0.16,77.2,0
5.5,10.16,72,58.6,63.1,83.5,57.9,0,0.08,74.5,2.9
2,23.32,79,53.7,66.9,78.4,59.4,0.02,0.2,73.2,2.9
2.2,23.83,82.1,62.3,71.4,68.4,58.8,0,0.21,75,-1.8
1.5,21.5,85,59.3,72.7,70,61,0,0.19,75.4,-3.6
2.5,22.54,83.1,63.6,73,70.2,61.5,0,0.2,76.3,-4.3
2.6,20.36,84.3,64.2,73.9,73.3,63.9,0,0.18,76.6,-3.6
2.1,17.08,86,66.3,75.7,76,66.9,0,0.15,77.2,-4
4.2,19.65,85.4,68.5,76.8,74,67.3,0,0.18,77.4,-3.6
5.3,12.16,82,64.1,72.7,73.4,63.5,0,0.11,76.1,-1.4
7.7,23.39,75.6,58.9,66.6,58.8,50.9,0,0.2,73.2,1.3
7.8,22.79,75.8,55.1,65.3,68.4,53.8,0,0.19,71.8,2.3
2.8,22.18,79.8,53.5,65.7,69.9,54.5,0,0.19,72,2.5
2.6,21.71,83.6,57.9,70,65.8,56.7,0,0.19,73,-1.4
1.9,18.08,83.4,58,70.5,67.5,57.9,0,0.16,73.2,-2.3
1.8,20.98,85.9,59.9,72.3,63.4,57.4,0,0.19,73.8,-2.9
4.3,19.17,85.4,65.8,74.7,70.8,63.9,0,0.17,74.7,-4
4.9,12.78,84.3,65.8,73,82.1,66.9,0.02,0.11,74.5,-3.8
7.1,13.03,83.1,67.7,75.4,75.8,66.7,0.07,0.12,74.1,-3
6,20.66,78.5,61,71.1,67.6,58.8,0.11,0.18,74.5,-2.7
5.5,21.26,77.8,55.4,65.8,59.3,49.6,0,0.18,71.6,0.2
3.1,17.87,81.8,55.9,67.3,56.2,49.5,0,0.16,70.9,-0.2
3.9,20.55,82.2,57.8,69.4,49.4,48,0,0.18,70.9,-0.6
4,21.18,81.3,53.5,68,55.1,49.8,0,0.18,70.7,-1.8
4,21.02,81.9,57.6,68.5,55.1,49.8,0,0.19,70.7,-2.9
2.8,20.27,84.3,55.8,69.8,59.6,53.2,0,0.18,71.1,-4.4
4.2,16.11,84.7,60.4,72.3,61.2,57.2,0,0.15,71.8,-4.9
2.6,11.81,80.7,57.5,69.6,63,55,0,0.1,71.8,-5.1
3.7,18.89,80.5,54.8,67.5,56.7,50.2,0,0.17,70.7,-6.1
3.7,19.6,76,53.1,64.2,58.5,47.8,0,0.17,70.3,-8.2
3.9,19.36,76.8,47.9,63.3,59,46.9,0.12,0.16,68.9,-6.1
6.9,16.97,72,51.2,61,59.9,45.9,0,0.14,67.8,-6.5
3,18,70.6,43.1,55.8,67.8,44.4,0,0.14,66.7,-4.6
2.5,18.59,75.9,45.9,61.3,57.1,44.2,0,0.15,66.9,-3.6
5.1,10.01,77.9,53.3,64,65.4,51.1,0.04,0.09,66.7,-1
5.8,19.55,60.9,38.5,48.9,60,33.8,0,0.14,64.6,1.1
4.4,18.57,73.7,36.9,56.5,49.9,34.2,0,0.15,62.1,0.3
6,18.7,61.6,43.9,54.1,48.3,33.8,0.01,0.14,62.8,-2
2.4,18.47,65.3,36,50.2,52.5,31.5,0,0.13,61.3,-1.2
2.8,17.78,75.5,44.8,59,41.6,33.4,0,0.15,62.1,-2.9
3.3,9.79,79.3,49.4,65.8,57,49.8,0,0.08,63.3,-5.9
5.3,2.52,68.5,61.3,65.5,91,62.8,0.25,0.02,65.7,-9
4.5,15.88,72.4,53.7,62.8,62.5,48.2,0,0.13,65.7,-10.8
5.8,15.3,68.9,49.1,58.1,44.4,35.1,0.01,0.12,62.4,-9
